System Error,Rob,Reich,Mehran,Sahami,Jeremy,Weinstein
Marple,Agatha,Christie,Naomi,Alderman,Leigh,Bardugo
From a Certain Point of View,Seth,Dickinson,Hank,Green,R.F.,Kuang
Closed Casket,Sophie,Hannah,Agatha,Christie,,
Chokepoint Capitalism,Rebecca,Giblin,Cory,Doctorow,,
The Missing README,Chris,Riccomini,Dmitriy,Ryaboy,,
This Is How You Lose the Time War,Amal,El-Mohtar,Max,Gladstone,,
The Mythic Dream,Dominik,Parisien,Navah,Wolfe,,
The Tangled Lands,Paolo,Bacigalupi,Tobias,Buckell,,
Too Like the Lightning,Ada,Palmer,,,,
Children of Time,Adrian,Tchaikovsky,,,,
Evil Under the Sun,Agatha,Christie,,,,
Poirot Investigates,Agatha,Christie,,,,
The Adventure of the Cheap Flat,Agatha,Christie,,,,
The Idol House of Astarte,Agatha,Christie,,,,
Emergent Properties,Aimee,Ogden,,,,
Astounding,Alec,Nevala-Lee,,,,
The Martian,Andy,Weir,,,,
Ancillary Justice,Ann,Leckie,,,,
The Bookwanderers,Anna,James,,,,
Autonomous,Annalee,Newitz,,,,
Four Lost Cities,Annalee,Newitz,,,,
The Future of Another Timeline,Annalee,Newitz,,,,
The Terraformers,Annalee,Newitz,,,,
Spine Poems,Annette,Simon,,,,
Cloud Cuckoo Land,Anthony,Doerr,,,,
A Line to Kill,Anthony,Horowitz,,,,
Moonflower Murders,Anthony,Horowitz,,,,
Moriarty,Anthony,Horowitz,,,,
The Sentence Is Death,Anthony,Horowitz,,,,
The Word Is Murder,Anthony,Horowitz,,,,
Demon Copperhead,Barbara,Kingsolver,,,,
A Prayer for the Crown-Shy,Becky,Chambers,,,,
A Psalm for the Wild-Built,Becky,Chambers,,,,
To Be Taught If Fortunate,Becky,Chambers,,,,
Math with Bad Drawings,Ben,Orlin,,,,
Everyone in My Family Has Killed Someone,Benjamin,Stevenson,,,,
Everyone on This Train Is a Suspect,Benjamin,Stevenson,,,,
A Short History of Nearly Everything,Bill,Bryson,,,,
Recursion,Blake,Crouch,,,,
Too Loud a Solitude,Bohumil,Hrabal,,,,
The Frugal Wizard's Handbook for Surviving Medieval England,Brandon,Sanderson,,,,
